,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
8952,Mody University Science Technology,Education & Training ,3.6,82 Reviews,26 years old,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
8953,Wizertech Informatics,IT Services & Consulting ,4.1,82 Reviews,24 years old,"Job Security, Work Satisfaction, Company Culture",
8954,Sankei Giken,Auto Components ,4.2,82 Reviews,76 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
8955,Cosma International India,Auto Components ,3.9,82 Reviews,,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance"
8956,Ibg Fincon Solutions,Financial Services ,4.0,82 Reviews,12 years old,"Skill Development / Learning, Promotions / Appraisal, Work Life Balance",
8957,Sigma Corporation India,Auto Components ,4.3,82 Reviews,60 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
8958,Kalinga University,Education & Training ,3.3,82 Reviews,11 years old,"Job Security, Promotions / Appraisal, Company Culture",
8959,Injectoplast,Auto Components ,4.0,82 Reviews,36 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
8960,Deepak Novochem Technologies,Chemicals ,4.0,82 Reviews,17 years old,Job Security,
8961,ATC India Tower Corporation,Telecom ,4.4,82 Reviews,17 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Job Security
8962,Daurala Sugar Works,Food Processing ,4.1,82 Reviews,,"Job Security, Company Culture",Promotions / Appraisal
8963,S.K.B. Builders,Engineering & Construction ,3.7,82 Reviews,42 years old,"Promotions / Appraisal, Company Culture, Work Life Balance",
8964,Exclusífe Technosoft,Retail ,3.0,82 Reviews,11 years old,"Job Security, Salary & Benefits, Work Satisfaction",
8965,Valethi Technologies,Analytics & KPO ,3.7,82 Reviews,13 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
8966,Vydehi Institute Of Medical Sciences And Research Centre,Healthcare ,4.1,82 Reviews,24 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
8967,AddWeb Solution,IT Services & Consulting ,4.6,82 Reviews,12 years old,"Company Culture, Skill Development / Learning, Job Security",
8968,Learning Routes,EdTech ,4.0,82 Reviews,7 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
8969,JPM INDUSTRIES,Industrial Machinery ,3.9,82 Reviews,65 years old,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
8970,Emonics,,4.1,82 Reviews,,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
8971,Great Champ Technology Limited,EdTech ,3.4,82 Reviews,14 years old,"Job Security, Skill Development / Learning, Company Culture",
8972,FINPLAN INTERNATIONAL EDUCATION,Education & Training ,4.6,82 Reviews,13 years old,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",
8973,Mymd Healthcare,Internet ,3.0,82 Reviews,,"Promotions / Appraisal, Job Security, Work Satisfaction",
8974,Gurukul School,Education & Training ,4.2,82 Reviews,22 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
8975,Ecolab Digital Center,IT Services & Consulting ,3.6,82 Reviews,,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
8976,Qarmatek Services,Facility Management Services ,3.5,82 Reviews,13 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
8977,21North,Internet ,3.0,82 Reviews,9 years old,"Job Security, Salary & Benefits, Promotions / Appraisal",
8978,alliantgroup,,2.7,82 Reviews,,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
8979,Welcomhotel By ITC Hotels,,4.5,82 Reviews,,"Job Security, Work Life Balance, Skill Development / Learning",
8980,FINPLAN INTERNATIONAL EDUCATION,Education & Training ,4.6,82 Reviews,13 years old,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",
8981,Welcomhotel By ITC Hotels,,4.5,82 Reviews,,"Job Security, Work Life Balance, Skill Development / Learning",
8982,Infoblox,IT Services & Consulting ,4.5,82 Reviews,25 years old,"Company Culture, Work Life Balance, Job Security",
8983,Jhajharia Nirman Limited,,4.1,81 Reviews,16 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
8984,Oxalis Pharmaceuticals,Pharma ,3.9,81 Reviews,12 years old,Job Security,
8985,UpMan Placements,Recruitment ,4.0,81 Reviews,22 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
8986,Reliance Footprint,Retail ,4.2,81 Reviews,17 years old,"Skill Development / Learning, Company Culture, Job Security",
8987,Rotomaker,Animation & VFX ,3.9,81 Reviews,10 years old,"Company Culture, Skill Development / Learning, Work Satisfaction","Job Security, Promotions / Appraisal"
8988,SMC Real Estate Advisors,Real Estate ,3.5,81 Reviews,34 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
8989,Chaitanya Projects Consultancy,Financial Services ,4.1,81 Reviews,,"Work Satisfaction, Job Security, Salary & Benefits",Promotions / Appraisal
8990,Goqii,Fitness & Wellness ,3.7,81 Reviews,10 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security"
8991,On Demand Agility Software,IT Services & Consulting ,3.6,81 Reviews,18 years old,"Job Security, Skill Development / Learning, Promotions / Appraisal",
8992,BANKEDGE,Education & Training ,3.9,81 Reviews,9 years old,"Skill Development / Learning, Job Security, Company Culture",
8993,Ars Traffic And Transport Technology,IT Services & Consulting ,2.6,81 Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
8994,M Intergraph Systems,IT Services & Consulting ,4.3,81 Reviews,34 years old,"Company Culture, Skill Development / Learning, Job Security",
8995,Renishaw,Industrial Automation ,4.1,81 Reviews,51 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
8996,Datacomp Web Technologies (i),IT Services & Consulting ,3.8,81 Reviews,39 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
8997,Garuda Polyflex Foods,FMCG ,4.0,81 Reviews,12 years old,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
8998,Park Avenue,Beauty & Personal Care ,4.2,81 Reviews,60 years old,"Work Life Balance, Company Culture, Work Satisfaction",
8999,SAL STEEL,Iron & Steel ,3.5,81 Reviews,21 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9000,Absotherm Facility Management,Facility Management Services ,4.3,81 Reviews,14 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
9001,Tricon Infotech,IT Services & Consulting ,3.9,81 Reviews,27 years old,"Salary & Benefits, Work Life Balance",
9002,Park Avenue,Beauty & Personal Care ,4.2,81 Reviews,60 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9003,SAL STEEL,Iron & Steel ,3.5,81 Reviews,21 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9004,Garuda Polyflex Foods,FMCG ,4.0,81 Reviews,12 years old,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
9005,On Demand Agility Software,IT Services & Consulting ,3.6,81 Reviews,18 years old,"Job Security, Skill Development / Learning, Promotions / Appraisal",
9006,InfinityLabs,IT Services & Consulting ,3.0,81 Reviews,10 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
9007,Sumitomo Mitsui Banking Corporation,Financial Services ,2.7,81 Reviews,23 years old,Job Security,"Work Satisfaction, Company Culture, Skill Development / Learning"
9008,Srmb Steel,Iron & Steel ,3.5,81 Reviews,73 years old,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",
9009,iPlaceUSA,Recruitment ,3.8,81 Reviews,18 years old,"Salary & Benefits, Promotions / Appraisal",Job Security
9010,Pentair Water India,Industrial Machinery ,4.0,81 Reviews,58 years old,"Work Life Balance, Job Security, Company Culture",
9011,Freudenberg Gala Household Product,Consumer Electronics & Appliances ,4.2,81 Reviews,15 years old,"Skill Development / Learning, Job Security, Company Culture",
9012,Seneca Global IT Services,IT Services & Consulting ,3.9,81 Reviews,17 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
9013,INOXCVA,Financial Services ,4.1,81 Reviews,32 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
9014,Intec Infra-Technologies,Architecture & Interior Design ,3.2,81 Reviews,28 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
9015,TekFriday Processing Solutions,IT Services & Consulting ,3.9,81 Reviews,11 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9016,Zamil,Financial Services ,3.9,81 Reviews,104 years old,"Work Life Balance, Job Security",Promotions / Appraisal
9017,Colan Infotech,IT Services & Consulting ,4.0,81 Reviews,15 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
9018,Asian Colour Coated Ispat,Metals & Mining ,4.1,81 Reviews,19 years old,"Work Life Balance, Job Security, Company Culture",
9019,Hykon,Electronics Manufacturing ,4.2,81 Reviews,33 years old,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",
9020,Prabha Industries,Chemicals ,3.7,81 Reviews,54 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
9021,Hykon,Electronics Manufacturing ,4.2,81 Reviews,33 years old,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",
9022,Good Health Tpa Services,Insurance ,4.0,81 Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9023,HIDADA,Engineering & Construction ,3.6,81 Reviews,42 years old,Work Life Balance,"Salary & Benefits, Promotions / Appraisal, Job Security"
9024,Pearl Academy,Education & Training ,4.0,81 Reviews,31 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
9025,Centex Exports,Fashion & Textile ,3.6,81 Reviews,55 years old,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",
9026,Freudenberg Gala Household Product,Consumer Electronics & Appliances ,4.2,81 Reviews,15 years old,"Skill Development / Learning, Job Security, Company Culture",
9027,Srmb Steel,Iron & Steel ,3.5,81 Reviews,73 years old,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",
9028,Pentair Water India,Industrial Machinery ,4.0,81 Reviews,58 years old,"Work Life Balance, Job Security, Company Culture",
9029,Seneca Global IT Services,IT Services & Consulting ,3.9,81 Reviews,17 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
9030,Consultancy Services,Recruitment ,4.1,81 Reviews,14 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
9031,Detroit Engineered Products,Automobile ,3.2,81 Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9032,East West Seeds,FMCG ,4.5,81 Reviews,42 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
9033,BEC Chemicals,Pharma ,3.7,81 Reviews,45 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
9034,Carillion Alawi LLC,Facility Management Services ,3.8,81 Reviews,45 years old,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Company Culture"
9035,Transdyne IT Services,IT Services & Consulting ,3.5,81 Reviews,22 years old,"Job Security, Work Life Balance, Company Culture",Salary & Benefits
9036,Ruban Memorial Hospital,Healthcare ,4.0,81 Reviews,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
9037,Crimsoune Club,Fashion & Textile ,4.1,81 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9038,iPlaceUSA,Recruitment ,3.8,81 Reviews,18 years old,"Salary & Benefits, Promotions / Appraisal",Job Security
9039,SUNDIRECT,,4.3,81 Reviews,17 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
9040,East West Seeds,FMCG ,4.5,81 Reviews,42 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
9041,BEC Chemicals,Pharma ,3.7,81 Reviews,45 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
9042,Srinivasa Farms,Food Processing ,4.2,81 Reviews,59 years old,"Work Life Balance, Job Security, Company Culture",
9043,HES Infra,Engineering & Construction ,4.2,81 Reviews,17 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9044,BG LIIN Electrical,,3.8,81 Reviews,25 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
9045,Transdyne IT Services,IT Services & Consulting ,3.5,81 Reviews,22 years old,"Job Security, Work Life Balance, Company Culture",Salary & Benefits
9046,Crimsoune Club,Fashion & Textile ,4.1,81 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9047,Ruban Memorial Hospital,Healthcare ,4.0,81 Reviews,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
9048,Consultancy Services,Recruitment ,4.1,81 Reviews,14 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
9049,Detroit Engineered Products,Automobile ,3.2,81 Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9050,JAAC TECHNO SERVICES,Industrial Machinery ,4.3,81 Reviews,15 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9051,SHREE AMBA INDUSTRIES,Auto Components ,3.9,81 Reviews,34 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
9052,Shetty Infraservices,IT Services & Consulting ,4.2,81 Reviews,29 years old,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
9053,BANKEDGE,Education & Training ,3.9,81 Reviews,9 years old,"Skill Development / Learning, Job Security, Company Culture",
9054,ATPI,Travel & Tourism ,4.1,81 Reviews,22 years old,"Job Security, Work Life Balance, Skill Development / Learning",
9055,Hotel Hindusthan International,Hospitality ,4.3,81 Reviews,55 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9056,Acro Paints,Building Material ,3.7,81 Reviews,35 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
9057,Robo Silicon,Metals & Mining ,4.2,81 Reviews,25 years old,"Company Culture, Job Security, Salary & Benefits",
9058,Mgm Hospital,Healthcare ,4.2,81 Reviews,7 years old,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal"
9059,Bhash Software Labs,Software Product ,3.4,81 Reviews,10 years old,,
9060,NNE,Engineering & Construction ,3.7,81 Reviews,28 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9061,Srinivasa Farms,Food Processing ,4.2,81 Reviews,59 years old,"Work Life Balance, Job Security, Company Culture",
9062,HES Infra,Engineering & Construction ,4.2,81 Reviews,17 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9063,BG LIIN Electrical,,3.8,81 Reviews,25 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
9064,Trinity Engineers,Automobile ,4.2,81 Reviews,51 years old,"Skill Development / Learning, Company Culture, Job Security",Salary & Benefits
9065,Bestech Group,Real Estate ,4.0,81 Reviews,34 years old,"Job Security, Work Life Balance",Promotions / Appraisal
9066,Bundy India,Auto Components ,4.1,81 Reviews,,"Company Culture, Work Satisfaction, Work Life Balance",
9067,Sequretek It Solutions,Emerging Technologies ,3.6,81 Reviews,11 years old,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",
9068,New Swan Multitech,Industrial Machinery ,3.8,81 Reviews,15 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
9069,Vital Laboratories,Pharma ,3.9,81 Reviews,25 years old,"Company Culture, Work Satisfaction, Job Security",
9070,Aditya Birla Idea Payments Bank,FinTech ,3.6,81 Reviews,,"Skill Development / Learning, Company Culture, Salary & Benefits",
9071,Apex Kidney Care,Healthcare ,3.9,81 Reviews,16 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
9072,Cambridge School,Education & Training ,4.1,81 Reviews,93 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9073,JAAC TECHNO SERVICES,Industrial Machinery ,4.3,81 Reviews,15 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9074,Sirca Paints India,Chemicals ,4.3,81 Reviews,18 years old,Work Life Balance,"Company Culture, Skill Development / Learning"
9075,Lavya Associates HR Services,Recruitment ,3.9,81 Reviews,12 years old,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
9076,CADS Software,IT Services & Consulting ,4.0,81 Reviews,50 years old,"Promotions / Appraisal, Work Life Balance, Company Culture",
9077,Garments India,Fashion & Textile ,4.6,81 Reviews,46 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
9078,ATPI,Travel & Tourism ,4.1,81 Reviews,22 years old,"Job Security, Work Life Balance, Skill Development / Learning",
9079,Computer Technologies,IT Services & Consulting ,4.2,81 Reviews,31 years old,"Company Culture, Work Satisfaction, Job Security",
9080,JPM Group,Auto Components ,3.9,81 Reviews,,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9081,Hsbc bank Hdpi,,4.1,81 Reviews,,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
9082,Sirca Paints India,Chemicals ,4.3,81 Reviews,18 years old,Work Life Balance,"Company Culture, Skill Development / Learning"
9083,Sri Sai Power and Equipments,Industrial Machinery ,3.9,81 Reviews,11 years old,"Job Security, Skill Development / Learning, Work Life Balance",
9084,NimbusPost,Logistics ,3.5,81 Reviews,5 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
9085,Learnbay,,4.0,81 Reviews,,"Salary & Benefits, Company Culture, Work Life Balance",
9086,Mylab Discovery Solutions,Internet ,3.2,81 Reviews,8 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9087,Relevantz Technology Services,IT Services & Consulting ,3.9,81 Reviews,49 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9088,DLV Software,IT Services & Consulting ,4.0,81 Reviews,,"Skill Development / Learning, Work Satisfaction, Company Culture",Salary & Benefits
9089,SMSlocal,,4.8,81 Reviews,,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9090,Vishvaraj Environment,Waste Management ,4.1,81 Reviews,,Salary & Benefits,Promotions / Appraisal
9091,Meghmani Group,,3.5,81 Reviews,,"Promotions / Appraisal, Job Security, Skill Development / Learning",
9092,AppLogiQ,IT Services & Consulting ,4.9,81 Reviews,4 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
9093,Gainwell Technologies,IT Services & Consulting ,4.0,81 Reviews,15 years old,"Job Security, Work Life Balance, Company Culture",
9094,Conde Nast India,Printing & Publishing ,3.5,81 Reviews,17 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
9095,WHSmith,Retail ,4.4,80 Reviews,232 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
9096,Indu Projects,Engineering & Construction ,4.0,80 Reviews,23 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
9097,Via.com,Media & Entertainment ,3.7,80 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9098,MPMKVVCL,Government ,3.6,80 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9099,Vritti Solutions,IT Services & Consulting ,3.8,80 Reviews,19 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
9100,RMS,Industrial Automation ,4.0,80 Reviews,36 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
9101,ArisGlobal,IT Services & Consulting ,2.6,80 Reviews,37 years old,"Job Security, Company Culture, Promotions / Appraisal",
9102,Kingfisher Airlines,Aviation ,4.7,80 Reviews,21 years old,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
9103,Accord Software & Systems,Software Product ,3.8,80 Reviews,33 years old,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
9104,Galderma,Healthcare ,3.6,80 Reviews,43 years old,Salary & Benefits,"Job Security, Promotions / Appraisal"
9105,Mobily Infotech,Telecom ,3.9,80 Reviews,17 years old,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal
9106,The Hackett Group,Management Consulting ,3.1,80 Reviews,27 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
9107,Josh Software,IT Services & Consulting ,3.1,80 Reviews,,"Promotions / Appraisal, Job Security, Salary & Benefits",
9108,Simbhaoli Sugars,Food Processing ,3.5,80 Reviews,91 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
9109,Trustline Securities,Investment Banking / Venture Capital / Private Equity ,4.5,80 Reviews,29 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
9110,Sarvatra Technologies,FinTech ,4.3,80 Reviews,24 years old,"Job Security, Company Culture, Work Life Balance",
9111,Verint Systems,IT Services & Consulting ,4.1,80 Reviews,30 years old,"Company Culture, Salary & Benefits, Skill Development / Learning",
9112,Asia Motor Works,Auto Components ,4.0,80 Reviews,22 years old,"Salary & Benefits, Work Life Balance, Job Security",
9113,Growisto,Marketing & Advertising ,4.5,80 Reviews,8 years old,"Skill Development / Learning, Company Culture, Job Security",
9114,GD Goenka International School,,3.7,80 Reviews,,"Job Security, Work Life Balance, Work Satisfaction",
9115,Manipal Group,Healthcare ,4.1,80 Reviews,71 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
9116,Lotus Valley International School,Education & Training ,3.7,80 Reviews,20 years old,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance"
9117,Parekh Group,Logistics ,3.9,80 Reviews,73 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
9118,Swaraj Automotives,Auto Components ,4.1,80 Reviews,50 years old,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
9119,B.P. Poddar Hospital & Medical Research,Healthcare ,3.4,80 Reviews,20 years old,"Job Security, Company Culture, Work Life Balance",
9120,Arihant Superstructures,Real Estate ,3.0,80 Reviews,41 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
9121,Arki Techno Consultants,Engineering & Construction ,3.5,80 Reviews,17 years old,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
9122,Merino Panel Products,Furniture & Furnishing ,4.2,80 Reviews,50 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
9123,Nipro Medical,Healthcare ,4.0,80 Reviews,70 years old,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
9124,Oswal Woollen Mills,Fashion & Textile ,3.9,80 Reviews,75 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9125,IMS Learning Resources,Education & Training ,3.7,80 Reviews,47 years old,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
9126,SecureNow Insurance Broker,Insurance ,3.5,80 Reviews,13 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9127,Kintetsu World Express,Logistics ,4.1,80 Reviews,27 years old,"Skill Development / Learning, Job Security",
9128,Prologic Web Solutions,IT Services & Consulting ,4.2,80 Reviews,14 years old,"Work Satisfaction, Skill Development / Learning, Work Life Balance",
9129,Advance Auto Parts,Auto Components ,3.7,80 Reviews,92 years old,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
9130,Difacto Robotics and Automation,Industrial Automation ,3.7,80 Reviews,17 years old,"Job Security, Skill Development / Learning","Work Life Balance, Work Satisfaction, Promotions / Appraisal"
9131,Worldwide Oilfield Machine,Oil & Gas ,4.3,80 Reviews,44 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
9132,Mahabal Group of Industries,Auto Components ,3.7,80 Reviews,59 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
9133,Satec Envir Engineering (I),Engineering & Construction ,4.3,80 Reviews,33 years old,"Skill Development / Learning, Company Culture, Salary & Benefits",
9134,codeMantra,IT Services & Consulting ,3.2,80 Reviews,20 years old,"Job Security, Promotions / Appraisal, Company Culture",
9135,GSS Infotech,IT Services & Consulting ,3.7,80 Reviews,25 years old,"Work Satisfaction, Job Security, Skill Development / Learning",
9136,Alice Blue Commodities,FinTech ,3.5,80 Reviews,18 years old,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",
9137,Delhi Integrated Multi Modal Transit System,Urban Transport ,3.9,80 Reviews,18 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
9138,Louis Dreyfus Commodities,,4.1,80 Reviews,27 years old,"Company Culture, Work Life Balance, Job Security",
9139,Mcnally Sayaji Engineering,Industrial Machinery ,3.9,80 Reviews,63 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9140,MCaffeine,Beauty & Personal Care ,3.8,80 Reviews,8 years old,"Work Life Balance, Promotions / Appraisal",
9141,Advanced Medtech Solutions,Medical Equipment ,3.6,80 Reviews,11 years old,"Job Security, Company Culture, Work Satisfaction",
9142,Fourth Dimension Technologies,IT Services & Consulting ,3.9,80 Reviews,35 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
9143,Swan Solutions & Services,IT Services & Consulting ,4.5,80 Reviews,35 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
9144,Rhydburg Pharmaceuticals,Pharma ,3.4,80 Reviews,37 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9145,Sms Envocare,Waste Management ,4.1,80 Reviews,21 years old,"Work Life Balance, Job Security, Skill Development / Learning",
9146,Safety Circle,Facility Management Services ,3.6,80 Reviews,20 years old,Skill Development / Learning,
9147,Kun Hyundai,Automobile ,4.3,80 Reviews,26 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
9148,Escorts Railway Equipment Division,Industrial Machinery ,3.7,80 Reviews,62 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9149,Insurance Company,Real Estate ,3.9,80 Reviews,,"Company Culture, Job Security, Skill Development / Learning",
9150,SoftProdigy System Solutions,IT Services & Consulting ,4.5,80 Reviews,18 years old,"Company Culture, Skill Development / Learning, Job Security",
9151,Empower,Insurance ,3.9,80 Reviews,8 years old,"Job Security, Salary & Benefits","Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
9152,Anvil Cables,Semiconductors ,4.2,80 Reviews,15 years old,Work Satisfaction,Promotions / Appraisal
9153,Das Writing Services,Internet ,3.9,80 Reviews,13 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9154,Solenis,Chemicals ,4.0,80 Reviews,117 years old,"Work Life Balance, Salary & Benefits, Company Culture",
9155,Indian Institute of Management,Education & Training ,3.9,80 Reviews,,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Job Security"
9156,Erection Instrumentation,Pharma ,3.8,80 Reviews,23 years old,"Work Satisfaction, Skill Development / Learning, Company Culture",Salary & Benefits
9157,SVG Express Services,BPO ,3.5,80 Reviews,22 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9158,Cozmo Travel,Travel & Tourism ,4.0,80 Reviews,14 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
9159,Planit Testing India,IT Services & Consulting ,3.6,80 Reviews,27 years old,Skill Development / Learning,"Promotions / Appraisal, Company Culture"
9160,Radiant Hitech Eng,Industrial Machinery ,4.2,80 Reviews,45 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
9161,Axis Asset Management Company,Financial Services ,4.3,80 Reviews,15 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
9162,Goddres Pharmaceuticals,Pharma ,3.2,80 Reviews,13 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
9163,Virgo Laminates,Furniture & Furnishing ,4.1,80 Reviews,31 years old,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
9164,Fourth Partner Energy,Power ,4.2,80 Reviews,14 years old,"Work Life Balance, Company Culture, Job Security",
9165,Volansys Technologies,IT Services & Consulting ,3.6,80 Reviews,16 years old,"Salary & Benefits, Work Satisfaction, Company Culture",
9166,WEBSOL ENERGY SYSTEMS,Semiconductors ,3.5,80 Reviews,34 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
