,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4782,Amnex Infotechnologies,IT Services & Consulting ,3.5,157 Reviews,16 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
4783,OASYS Cybernetics,IT Services & Consulting ,3.7,157 Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4784,Burckhardt Compression,Industrial Machinery ,4.3,157 Reviews,180 years old,"Company Culture, Job Security, Work Life Balance",
4785,Anlage Infotech,IT Services & Consulting ,3.9,157 Reviews,28 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
4786,Roulunds Braking,Auto Components ,3.5,156 Reviews,288 years old,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
4787,SSK Group,FMCG ,3.2,156 Reviews,35 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4788,Kiran Foreign Trade,Software Product ,3.7,156 Reviews,17 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4789,Rudrabhishek Enterprises,Urban Transport ,3.6,156 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4790,KisanKraft Machine Tools,Industrial Machinery ,3.4,156 Reviews,19 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
4791,Balasore Alloys,Metals & Mining ,4.1,156 Reviews,40 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4792,Sumadhura Infracon,Real Estate ,4.3,156 Reviews,18 years old,"Company Culture, Job Security, Skill Development / Learning",
4793,Boston Scientific,Healthcare ,4.1,156 Reviews,45 years old,"Work Life Balance, Company Culture, Job Security",
4794,Saudi Oger,Engineering & Construction ,4.7,156 Reviews,46 years old,"Work Satisfaction, Skill Development / Learning, Company Culture",
4795,Hidden Brains InfoTech,IT Services & Consulting ,3.8,156 Reviews,21 years old,"Skill Development / Learning, Job Security, Company Culture",
4796,QX,BPO ,3.6,156 Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4797,Azure Hospitality,Hospitality ,4.5,156 Reviews,15 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4798,Magma Housing Finance,Financial Services ,4.2,156 Reviews,35 years old,"Skill Development / Learning, Job Security, Work Satisfaction",
4799,Indian Oil- Adani Gas,,3.8,156 Reviews,,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
4800,Sunil Hitech Engineers,Engineering & Construction ,4.2,156 Reviews,26 years old,"Job Security, Company Culture, Salary & Benefits",
4801,Caplin Point Laboratories,Pharma ,4.0,156 Reviews,34 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4802,Oerlikon Graziano Transmission,Industrial Machinery ,4.1,156 Reviews,118 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
4803,Mogli labs,Internet ,3.5,156 Reviews,10 years old,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
4804,Paramatrix Technologies,Software Product ,4.3,156 Reviews,20 years old,"Skill Development / Learning, Job Security, Company Culture",
4805,SYNCHRONIZED SUPPLY SYSTEMS,Logistics ,4.1,156 Reviews,17 years old,"Company Culture, Salary & Benefits, Work Life Balance",Job Security
4806,Meneta Automotive Components,Auto Components ,3.8,156 Reviews,17 years old,Promotions / Appraisal,
4807,Kutch Chemical Industries,Chemicals ,4.1,156 Reviews,20 years old,"Job Security, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
4808,KPR Mill,Fashion & Textile ,4.1,156 Reviews,40 years old,Work Life Balance,
4809,Green Park Hotels,Hospitality ,4.1,156 Reviews,33 years old,"Job Security, Skill Development / Learning, Company Culture",
4810,E Pack Polymers,Packaging ,3.7,156 Reviews,25 years old,"Job Security, Work Satisfaction, Company Culture",
4811,Vaidik Eduservices,EdTech ,3.3,156 Reviews,,"Promotions / Appraisal, Job Security, Salary & Benefits",
4812,Namdev Finvest,Financial Services ,4.5,156 Reviews,27 years old,"Work Satisfaction, Work Life Balance, Company Culture",
4813,Futurense Technologies,IT Services & Consulting ,3.5,156 Reviews,4 years old,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance"
4814,BDO Rise,Accounting & Auditing ,3.7,156 Reviews,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4815,Max Data Entry Services,BPO ,4.2,156 Reviews,,"Work Satisfaction, Promotions / Appraisal, Job Security",
4816,Greemus Software Technologies Private Limited,IT Services & Consulting ,4.8,156 Reviews,10 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4817,Logicon Facility Management,Facility Management Services ,3.7,155 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4818,Rohan Motors,Automobile ,3.9,155 Reviews,36 years old,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
4819,99acres,Internet ,4.0,155 Reviews,19 years old,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
4820,Alcatel-Lucent,Telecom ,4.2,155 Reviews,32 years old,"Work Life Balance, Job Security, Company Culture",
4821,PG Electroplast,Consumer Electronics & Appliances ,4.1,155 Reviews,47 years old,,
4822,AVRA Laboratories,Pharma ,4.1,155 Reviews,29 years old,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4823,Sparsh Hospital,Healthcare ,4.0,155 Reviews,18 years old,Work Life Balance,Promotions / Appraisal
4824,Amec Foster Wheeler,Oil & Gas ,3.8,155 Reviews,42 years old,"Promotions / Appraisal, Salary & Benefits",
