author,published_at,updated_at,like_count,text
@adarshvaranasi1684,2021-10-22T14:38:56Z,2021-10-22T14:40:47Z,1,The thing am actually searched in you tube for top characters in Naruto because of Itachi this video shown him Respect
@adarshvaranasi1684,2021-10-22T14:34:41Z,2021-10-22T14:49:59Z,1,In the video last secondItachi Uchiha It was my genjutsu Me yeah thats Itachi I know
@goblinslayer6375,2021-10-21T23:52:59Z,2021-10-21T23:52:59Z,0,Tobirama Damn Uhicha
@PrashantKumar-du6ml,2021-10-19T17:05:09Z,2021-10-19T17:05:09Z,0,Itachi should have been top from the middle of the show
@juanyt2,2021-10-17T07:19:29Z,2021-10-17T07:19:29Z,0,Gaara being top 1 from 2005 to 2009 wtff
@redamazing1878,2021-10-16T01:21:50Z,2021-10-16T01:21:50Z,0,I remember back then i search for tsunade booba
@kunalsharma8142,2021-10-13T06:58:30Z,2021-10-13T06:58:30Z,0,Deidara sasuke  Naruto pain  jiraya are the best characters of this show
@user-fk2mf4tt9q,2021-10-07T16:28:43Z,2021-10-07T16:28:43Z,0,Itachi The real power of Sharingan
@Rinmatsuoka10,2021-10-05T09:03:23Z,2021-10-05T09:03:23Z,0,How fool usless shakura Shitt More famous than Madara  I cant Believe that
@yvongravois1393,2021-10-04T06:28:47Z,2021-10-04T06:28:47Z,2,Im happy that Sasori made it in this list eve tho he only showed up in a couple episodes hes one of my fav character
@yvongravois1393,2021-10-04T06:21:47Z,2021-10-04T06:21:47Z,0,Im thankful Itachi and Kakashi are on the top they deserve it
@user-fk3ic1cq6z,2021-10-03T18:31:05Z,2021-10-03T18:31:05Z,0,Sasori ma man was there almost the entire time even tho he was the first one to die in shippudenpermanently
@rowanoo5797,2021-10-02T16:37:18Z,2021-10-02T16:37:18Z,0,I literally had to look up tenten bcuz I had no idea who she was But maybe thats why she got so high up
@idrinkwineduringbattle,2021-09-29T07:37:47Z,2021-09-29T07:37:47Z,0,To think that Madara and Minato were on this list way before they were at least properly introduced
@gheri2957,2021-09-25T00:30:08Z,2021-09-25T00:30:08Z,2,My man Sasori fought so hard to stay on the list Respect
@veprox6708,2021-09-21T14:46:51Z,2021-09-21T14:46:51Z,0,Naruto  I am the most popular character hehe dattebayo Itachi  u are already under my genjutsu
@veprox6708,2021-09-21T14:45:32Z,2021-09-21T14:45:32Z,4,itachi was always in the list and last at the top the true legend
@thesepta8660,2021-09-20T10:02:02Z,2021-09-20T10:02:02Z,0,Itachi 
@Abraham-nn8hy,2021-09-17T22:25:03Z,2021-09-17T22:25:03Z,1,Tsunade being on top is understandable 
@KIYOTAKA2507,2021-09-14T08:45:04Z,2021-09-14T08:45:04Z,0,My favourite charactersItachiShisui Sasuke NarutoObitoMinato JirayaPainKakashiMight guy Rock LeeMadaraHasirama senjuTobirama senju
@31_master,2021-09-14T03:55:27Z,2021-09-14T03:55:27Z,1,045 sasori
@shivanisingh-qh7vp,2021-09-14T03:33:28Z,2021-09-14T03:33:28Z,2,Do sakura really has such big fanbase I mean who the fuck likes her 
@harshdinodiya8509,2021-09-13T07:24:42Z,2021-09-13T07:24:42Z,0,I just saw sakura and sasuke on top and found out its fake 
@cat-yi9vu,2021-09-09T23:11:29Z,2021-09-09T23:11:29Z,0,ino Cant EVEN be on the list Oo
@jedemmaludjecu2229,2021-09-07T11:26:26Z,2021-09-07T11:26:26Z,0,we all know why tsunade is that popular
@reshmaramishte7057,2021-09-04T09:58:35Z,2021-09-04T09:58:35Z,1,Who the hell loves sakura 
@acuss2089,2021-09-03T04:50:03Z,2021-09-03T04:50:03Z,1,Orange masked simp guy is underrated
@sayuU23_1,2021-08-29T15:01:51Z,2021-08-29T15:01:51Z,0,ten ten 
@bharathreddy5965,2021-08-29T14:26:02Z,2021-08-29T14:26:02Z,4,My top 10 are1Itachi 2Naruto 3jiraiya4guy5sasuke6madara 7pain8Hinata9gaara10neji
@mayankc.p638,2021-08-26T14:48:46Z,2021-08-26T14:48:46Z,1,Gaara is the best
@NiggaMon_69,2021-08-25T05:55:31Z,2021-08-25T05:55:31Z,0,Kakashi am i a joke to u
@siddapuramannapurna1281,2021-08-24T13:23:13Z,2021-08-24T13:23:13Z,1,itachi fans like
@takezo4165,2021-08-23T22:24:26Z,2021-08-23T22:26:45Z,0,So many clowns in the comments thinking that this is a list of how much the characters are loved even though this is based on how much they are searched lol Idiots  This is why anime fans are called childish because of you clowns 
@pearlgirl3282,2021-08-22T17:19:46Z,2021-08-22T17:19:46Z,0,And I cant see madara at top 4
@pearlgirl3282,2021-08-22T17:19:25Z,2021-08-22T17:19:25Z,1,Tenten was once one of my favorite character
@abderrahmennasri5115,2021-08-18T11:11:07Z,2021-08-18T11:35:53Z,1,025 Guys I dont get it Madara Uchiha in 2004Masashi Kishimoto did not show him even on the manga yet D
@JinxeBlaq,2021-08-17T20:14:22Z,2021-08-17T20:14:22Z,3,I love how you can perfectly tell when the emo era started because Sasuke was consistently in the top 3
@JatinAgri2003,2021-08-17T06:09:27Z,2021-08-17T06:09:27Z,1,Wait what Our beloved gai Sensei is not there in the list thats not fair Thanks for your support
@sheriff21yearsago45,2021-08-17T01:10:00Z,2021-08-17T01:10:00Z,0,How does Gaara get more popularitu than the main character whos name is the show
@LadyAntonette,2021-08-16T17:20:26Z,2021-08-16T17:20:26Z,0,Itachi gang gang alll mofo day Boi
@tjones7341,2021-08-15T20:54:56Z,2021-08-15T20:54:56Z,0,Me Wow it so interesting to see how the search results changed over time and how it correlates to certain events in the manga and animeThe comments for some reason ITACHISAMA IS THE BEST HE SO MUCH BETTER THAN EVERY ANIME CHARACTER IN THE WORLD ALL HAIL ITACHI ITACHI FOR PRESIDENT
@tjones7341,2021-08-15T20:50:30Z,2021-08-15T20:50:30Z,0,Dont go in the comments There are itachitards down there
@NarendraSharma-pj6bt,2021-08-15T16:34:12Z,2021-08-15T16:34:12Z,0,Sakura is dumb ass and if you dont agree me then you hate Narutoshippudin
@Ritankar_Uchiha,2021-08-15T04:32:12Z,2021-08-15T04:32:12Z,1,Itachi FTW
@shinenur28,2021-08-11T09:15:20Z,2021-08-11T09:15:20Z,0,How can sakura top list
@superdiamondlord2593,2021-08-11T07:17:32Z,2021-08-11T07:17:32Z,0,Its say people were looking up mineto in 2004 you sure
@anuraggarad6819,2021-08-09T10:24:41Z,2021-08-09T10:24:41Z,0,How was madara searched in 2004when he was not on anime
@anuraggarad6819,2021-08-09T10:18:08Z,2021-08-09T10:18:08Z,0,Naruto be like this is my show and Sasuke Sakura are stealing it
@wesah2735,2021-08-07T23:25:45Z,2021-08-07T23:25:45Z,0,WTF TENTEN
@memesifoundondiscordcuzyes9234,2021-08-06T09:14:25Z,2021-08-06T09:14:25Z,0,U cant bring someone to laugh with numbers Jiraiya 106
@anojrai6850,2021-08-05T16:39:25Z,2021-08-05T16:39:25Z,0,Sakura dont deserve 6th place 
@abdul.kdr_,2021-08-05T15:03:34Z,2021-08-05T15:03:34Z,1,Fuck How Can you forget deidara
@_....midnight...._,2021-08-02T15:27:10Z,2021-08-02T15:27:10Z,2,itachi is the best
@themultigoat6710,2021-08-01T10:18:35Z,2021-08-01T10:18:35Z,2,Me expecting itachi   Reality  Lemme trap you in a genjutsu my friend
@lfm5444,2021-08-01T07:52:03Z,2021-08-01T07:52:03Z,0,Sakuras hentai made a difference in this research
@NinjaLeonardo11,2021-07-31T20:28:06Z,2021-07-31T20:28:06Z,1,tie between itachi and naruto i wanted sasuke to win 
@lixiong9006,2021-07-31T16:58:56Z,2021-07-31T16:58:56Z,0,tenten at start BEATING NARUTO AND EVERYONE MOST POPULER POG
@Real.kartix,2021-07-31T14:39:54Z,2021-07-31T14:40:56Z,0,Omg ten ten became number I am sure I am under a genjutsu 
@ferikurniawan7866,2021-07-30T12:13:23Z,2021-07-30T12:13:23Z,1,Itachi
@_Achilles.,2021-07-29T18:17:42Z,2021-07-29T18:17:42Z,0,You already under my genjutsu
@sheikhhanan9428,2021-07-29T15:28:23Z,2021-07-29T15:28:23Z,0,Clear evidence having a good face matters
@mehmehmeh3665,2021-07-28T10:32:42Z,2021-07-28T10:32:42Z,2,The weirdest thing in 2007 was deidaras hand mouths hands down
@akosisaitama8351,2021-07-27T12:19:10Z,2021-07-27T12:19:10Z,2,My favourite pain
@ajaydodiya7346,2021-07-26T18:30:32Z,2021-07-26T18:30:32Z,0,We all people watch Naruto but Naruto is not all people favourite character
@Shoot2killNot4clout,2021-07-25T09:32:35Z,2021-07-25T09:32:35Z,1,I luv his style
@arnav9049,2021-07-24T06:32:43Z,2021-07-24T06:32:43Z,0,Gaara is OP
@Patrick33194,2021-07-22T23:41:26Z,2021-07-22T23:41:26Z,0,Look at Madara dance
@uchihaitachi-uu1jy,2021-07-16T03:55:01Z,2021-07-16T03:55:01Z,6,Itachi is my all time fav i feel so sad for him for what all he had to do
@amlanaum8426,2021-07-15T03:47:12Z,2021-07-15T03:47:12Z,0,Sasuke 
@jithuk929,2021-07-14T21:39:33Z,2021-07-14T21:39:33Z,0,95 of searches on sakura is why is sakura useless
@Smokingthatquandopack,2021-07-13T22:46:25Z,2021-07-13T22:46:25Z,0,Choji butterfly mode 
@ghostgaming4982,2021-07-13T20:06:02Z,2021-07-13T20:06:02Z,0,Guy in war i am going to take Main character
@kikironsty8210,2021-07-13T11:46:12Z,2021-07-13T11:46:12Z,1,Seems like Sasuke is competing with all Naruto characters
@gabriellajones1803,2021-07-12T21:36:29Z,2021-07-12T21:36:29Z,1,AYEE my top 4 favorite characters all took the top spots
@rosieposie2953,2021-07-12T20:09:38Z,2021-07-12T20:09:38Z,0,Sai be like 
@trevor9052,2021-07-10T06:46:36Z,2021-07-10T06:46:36Z,0,ppl beat the meat on tenten b4 sakura ig
@guts8532,2021-07-06T06:31:39Z,2021-07-06T06:31:39Z,0,My favorite is one and only himawari
@animefree1648,2021-07-03T14:00:27Z,2021-07-03T14:00:27Z,0,How tsunade is too than jiraiya
@hustle5683,2021-07-03T12:47:41Z,2021-07-03T12:47:41Z,0,Itachi is the best
@hustle5683,2021-07-03T12:44:58Z,2021-07-03T12:44:58Z,0,i was damn sure about itachi blind i swear  i was wait and watch Itachi will surpass all  our hero is on the top
@kanoujdas_aka_allstarxspik7330,2021-06-29T21:04:22Z,2021-06-29T21:05:36Z,0,Fake Content Itachi is the nost Popular Character not from the last But from Very Beginning of the Shippudenand Why The Heck Sakura was Top Are u Getting Weeds bruh
@srhgamer2631,2021-06-29T17:59:03Z,2021-06-29T17:59:03Z,0,Me how men can admire a men that too  in animeMe a free watching Kakashi
@sanket5424,2021-06-28T17:40:03Z,2021-06-28T17:40:03Z,0,Instead of Nagato if you had created data for word pain he would be at top of this list all the times because there is too much pain in this world  PS like backpain neckpain legpain etc
@YEONWIRI,2021-06-27T20:50:34Z,2021-06-27T20:50:34Z,0,what for 2020 Naruto was the most popular character Even in the popularity poll of all anime characters Itachi was not there
