"addressCity","addressState","price","statusType","statusText"
"Los Angeles","CA","$1,099,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,650,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,159,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,525,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$619,000","FOR_SALE","House for sale"
"Torrance","CA","$3,190,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,599,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,399,000","FOR_SALE","New construction"
"Los Angeles","CA","$599,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,259,000","FOR_SALE","House for sale"
"Los Angeles","CA","$595,000","FOR_SALE","House for sale"
"Los Angeles","CA","$409,900","FOR_SALE","House for sale"
"Los Angeles","CA","$589,000","FOR_SALE","House for sale"
"Harbor City","CA","$999,000","FOR_SALE","House for sale"
"Los Angeles","CA","$340,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$750,000","FOR_SALE","House for sale"
"Los Angeles","CA","$4,489,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,649,000","FOR_SALE","House for sale"
"Los Angeles","CA","$615,000","FOR_SALE","House for sale"
"Los Angeles","CA","$580,000","FOR_SALE","House for sale"
"Los Angeles","CA","$688,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$849,000","FOR_SALE","House for sale"
"Los Angeles","CA","$980,000","FOR_SALE","House for sale"
"Los Angeles","CA","$739,900","FOR_SALE","Foreclosure"
"Los Angeles","CA","$590,000","FOR_SALE","House for sale"
"San Pedro","CA","$1,095,000","FOR_SALE","House for sale"
"Gardena","CA","$574,000","FOR_SALE","House for sale"
"Torrance","CA","$849,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,499,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,499,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$699,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,769,000","FOR_SALE","House for sale"
"Los Angeles","CA","$549,995","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$710,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$668,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$799,999","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,695,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,099,000","FOR_SALE","Multi-family home for sale"
"San Pedro","CA","$902,000+","FOR_SALE","New construction"
"Los Angeles","CA","$2,500,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,650,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,199,000","FOR_SALE","House for sale"
"Los Angeles","CA","$859,500","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,275,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$1,199,000","FOR_SALE","House for sale"
"Los Angeles","CA","$850,000","FOR_SALE","Multi-family home for sale"
